Cycle 3,Sample School,Sample School,Sample School,Sample School,Sample School
Date,Grade,Class,Diner,Quantity,Meal
06-Nov-24,Primary,0Sample,2d2aeba2,1,Cheesy Bean Burrito in Tortilla with Vegetables
06-Nov-24,Primary,0Sample,c2a8aacc,1,Cheesy Bean Burrito in Tortilla with Vegetables
06-Nov-24,Primary,0Sample,1d1d6280,1,Cheesy Bean Burrito in Tortilla with Vegetables
06-Nov-24,Primary,0Sample,2911c092,1,Cheesy Bean Burrito in Tortilla with Vegetables
06-Nov-24,Primary,0Sample,dba05066,1,Cheesy Bean Burrito in Tortilla with Vegetables
07-Nov-24,Primary,0Sample,b22ff2e8,1,Corn Chowder with L'uskinikn (Biscuit) and Fruit
07-Nov-24,Primary,0Sample,e2aaa2a5,1,Chicken and Vegetable Stew with Mi’kmaw L’uskinikn (Biscuit)
07-Nov-24,Primary,0Sample,30b8724a,1,Chicken and Vegetable Stew with Mi’kmaw L’uskinikn (Biscuit)
07-Nov-24,Primary,0Sample,1e4f25ea,1,Corn Chowder with L'uskinikn (Biscuit) and Fruit
07-Nov-24,Primary,0Sample,28cd2de8,1,Chicken and Vegetable Stew with Mi’kmaw L’uskinikn (Biscuit)
07-Nov-24,Primary,0Sample,2d2aeba2,1,Chicken and Vegetable Stew with Mi’kmaw L’uskinikn (Biscuit)
07-Nov-24,Primary,0Sample,c2a8aacc,1,Corn Chowder with L'uskinikn (Biscuit) and Fruit
07-Nov-24,Primary,0Sample,2911c092,1,Corn Chowder with L'uskinikn (Biscuit) and Fruit
07-Nov-24,Primary,0Sample,dba05066,1,Corn Chowder with L'uskinikn (Biscuit) and Fruit
08-Nov-24,Primary,0Sample,b22ff2e8,1,Chicken Ranch Wrap
08-Nov-24,Primary,0Sample,e2aaa2a5,1,Chicken Ranch Wrap
08-Nov-24,Primary,0Sample,30b8724a,1,Chicken Ranch Wrap
08-Nov-24,Primary,0Sample,1e4f25ea,1,Hummus (Chickpea Dip) Vegetable Wrap
08-Nov-24,Primary,0Sample,28cd2de8,1,Hummus (Chickpea Dip) Vegetable Wrap
08-Nov-24,Primary,0Sample,2d2aeba2,1,Chicken Ranch Wrap
08-Nov-24,Primary,0Sample,c2a8aacc,1,Hummus (Chickpea Dip) Vegetable Wrap
08-Nov-24,Primary,0Sample,1d1d6280,1,Chicken Ranch Wrap
08-Nov-24,Primary,0Sample,2911c092,1,Chicken Ranch Wrap
08-Nov-24,Primary,0Sample,dba05066,1,Chicken Ranch Wrap
08-Nov-24,Primary,0Sample,9c505e55,1,Chicken Ranch Wrap
28-Oct-24,Grade 1,1Sample,01fac6ad,1,Macaroni and Cheese with Vegetables
28-Oct-24,Grade 1,1Sample,82623dcf,1,Macaroni and Cheese with Vegetables
28-Oct-24,Grade 1,1Sample,30aadda4,1,Macaroni and Cheese with Vegetables
28-Oct-24,Grade 1,1Sample,de4bf6e8,1,Macaroni and Cheese with Vegetables
28-Oct-24,Grade 1,1Sample,492940d8,1,Macaroni and Cheese with Vegetables
28-Oct-24,Grade 1,1Sample,6e88f665,1,Macaroni and Cheese with Vegetables
28-Oct-24,Grade 1,1Sample,12a3886a,1,Macaroni and Cheese with Beef and Vegetables
28-Oct-24,Grade 1,1Sample,b11313a7,1,Macaroni and Cheese with Vegetables
28-Oct-24,Grade 1,1Sample,6f7adc0c,1,Macaroni and Cheese with Vegetables
28-Oct-24,Grade 1,1Sample,42d1e119,1,Macaroni and Cheese with Vegetables
28-Oct-24,Grade 1,1Sample,20506b46,1,Macaroni and Cheese with Beef and Vegetables
28-Oct-24,Grade 1,1Sample,866f564e,1,Macaroni and Cheese with Vegetables
29-Oct-24,Grade 1,1Sample,01fac6ad,1,Soft Chicken Taco with Cheese and Vegetables
29-Oct-24,Grade 1,1Sample,82623dcf,1,Soft Chicken Taco with Cheese and Vegetables
29-Oct-24,Grade 1,1Sample,30aadda4,1,Soft Chicken Taco with Cheese and Vegetables
29-Oct-24,Grade 1,1Sample,492940d8,1,Soft Chicken Taco with Cheese and Vegetables
29-Oct-24,Grade 1,1Sample,12a3886a,1,Soft Shell Black Bean Tacos with Cheese and Vegetables
29-Oct-24,Grade 1,1Sample,6f7adc0c,1,Soft Chicken Taco with Cheese and Vegetables
29-Oct-24,Grade 1,1Sample,42d1e119,1,Soft Chicken Taco with Cheese and Vegetables
29-Oct-24,Grade 1,1Sample,20506b46,1,Soft Shell Black Bean Tacos with Cheese and Vegetables
30-Oct-24,Grade 1,1Sample,01fac6ad,1,Baked Potato with Beef Chilli and Vegetables
30-Oct-24,Grade 1,1Sample,82623dcf,1,Baked Potato with Beef Chilli and Vegetables
30-Oct-24,Grade 1,1Sample,30aadda4,1,Baked Potato with Beef Chilli and Vegetables
30-Oct-24,Grade 1,1Sample,492940d8,1,Baked Potato with Beef Chilli and Vegetables
30-Oct-24,Grade 1,1Sample,27e42244,1,Baked Potato with Beef Chilli and Vegetables
